plate_id,well,row,column,sample_id,well_role,treatment,dose,dose_unit,replicate
plate_01,A01,A,1,negative_control_01,negative_control,vehicle,,,1
plate_01,A02,A,2,negative_control_02,negative_control,vehicle,,,2
plate_01,A03,A,3,negative_control_03,negative_control,vehicle,,,3
plate_01,A04,A,4,negative_control_04,negative_control,vehicle,,,4
plate_01,A05,A,5,negative_control_05,negative_control,vehicle,,,5
plate_01,A06,A,6,negative_control_06,negative_control,vehicle,,,6
plate_01,A07,A,7,negative_control_07,negative_control,vehicle,,,7
plate_01,A08,A,8,negative_control_08,negative_control,vehicle,,,8
plate_01,A09,A,9,positive_control_01,positive_control,positive_control,,,1
plate_01,A10,A,10,positive_control_02,positive_control,positive_control,,,2
plate_01,A11,A,11,positive_control_03,positive_control,positive_control,,,3
plate_01,A12,A,12,positive_control_04,positive_control,positive_control,,,4
plate_01,B01,B,1,positive_control_05,positive_control,positive_control,,,5
plate_01,B02,B,2,positive_control_06,positive_control,positive_control,,,6
plate_01,B03,B,3,positive_control_07,positive_control,positive_control,,,7
plate_01,B04,B,4,positive_control_08,positive_control,positive_control,,,8
plate_01,B05,B,5,reference_treatment_0.003uM_rep01,treatment,reference_treatment,0.003,uM,1
plate_01,B06,B,6,reference_treatment_0.003uM_rep02,treatment,reference_treatment,0.003,uM,2
plate_01,B07,B,7,reference_treatment_0.003uM_rep03,treatment,reference_treatment,0.003,uM,3
plate_01,B08,B,8,reference_treatment_0.003uM_rep04,treatment,reference_treatment,0.003,uM,4
plate_01,B09,B,9,reference_treatment_0.003uM_rep05,treatment,reference_treatment,0.003,uM,5
plate_01,B10,B,10,reference_treatment_0.01uM_rep01,treatment,reference_treatment,0.01,uM,1
plate_01,B11,B,11,reference_treatment_0.01uM_rep02,treatment,reference_treatment,0.01,uM,2
plate_01,B12,B,12,reference_treatment_0.01uM_rep03,treatment,reference_treatment,0.01,uM,3
plate_01,C01,C,1,reference_treatment_0.01uM_rep04,treatment,reference_treatment,0.01,uM,4
plate_01,C02,C,2,reference_treatment_0.01uM_rep05,treatment,reference_treatment,0.01,uM,5
plate_01,C03,C,3,reference_treatment_0.03uM_rep01,treatment,reference_treatment,0.03,uM,1
plate_01,C04,C,4,reference_treatment_0.03uM_rep02,treatment,reference_treatment,0.03,uM,2
plate_01,C05,C,5,reference_treatment_0.03uM_rep03,treatment,reference_treatment,0.03,uM,3
plate_01,C06,C,6,reference_treatment_0.03uM_rep04,treatment,reference_treatment,0.03,uM,4
plate_01,C07,C,7,reference_treatment_0.03uM_rep05,treatment,reference_treatment,0.03,uM,5
plate_01,C08,C,8,reference_treatment_0.1uM_rep01,treatment,reference_treatment,0.1,uM,1
plate_01,C09,C,9,reference_treatment_0.1uM_rep02,treatment,reference_treatment,0.1,uM,2
plate_01,C10,C,10,reference_treatment_0.1uM_rep03,treatment,reference_treatment,0.1,uM,3
plate_01,C11,C,11,reference_treatment_0.1uM_rep04,treatment,reference_treatment,0.1,uM,4
plate_01,C12,C,12,reference_treatment_0.1uM_rep05,treatment,reference_treatment,0.1,uM,5
plate_01,D01,D,1,reference_treatment_0.3uM_rep01,treatment,reference_treatment,0.3,uM,1
